Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
Orgullosamente argentinas,2026-08-26,40.79,10,10,1,0,0,0,0,0,0,9,1,
Catalogo + Video 1,2026-08-27,2169.28,242,164,1.47561,17,17,0,0,0,0,126,10,
Catalogo + Video 2,2026-08-27,12178.48,2543,2020,1.258911,102,94,20,1,0,0,2377,100,
Catalogo + Video 5,2026-08-27,744.74,124,112,1.107143,3,4,0,0,0,0,113,1,
Cardigam Roma,2026-08-27,13.46,2,2,1,1,1,0,0,0,0,2,1,
Catalogo + Video 1,2026-08-28,34.45,10,10,1,0,0,0,0,0,0,7,1,
Catalogo + Video 2,2026-08-28,11595.01,2767,2374,1.165543,106,89,8,1,0,0,2546,110,
Catalogo + Video 3,2026-08-28,89.89,19,16,1.1875,0,0,0,0,0,0,1,0,
Catalogo + Video 4,2026-08-28,62.47,9,8,1.125,0,0,0,0,0,0,1,0,
Cardigam Roma,2026-08-28,0,0,0,0,0,0,0,0,0,0,0,0,
Orgullosamente argentinas,2026-08-28,22.6,6,6,1,0,0,0,0,0,0,5,0,
Catalogo + Video 2,2026-08-29,10562.52,1964,1732,1.133949,60,55,31,5,0,0,1833,62,
Catalogo + Video 5,2026-08-29,413.22,59,53,1.113208,5,5,3,0,1,61530,48,2,
Cardigam Roma,2026-08-29,45.59,3,2,1.5,1,1,0,0,0,0,3,1,
Catalogo + Video 2,2026-08-30,16111.91,3418,2724,1.254772,126,124,34,4,1,57338,3058,116,
Catalogo + Video 4,2026-08-30,0.4,1,1,1,0,0,0,0,0,0,1,0,
Catalogo + Video 1,2026-08-31,3.72,2,2,1,0,0,0,0,0,0,1,0,
Catalogo + Video 2,2026-08-31,12556.92,2783,2413,1.153336,76,74,10,3,0,0,2618,102,
Catalogo + Video 3,2026-08-31,1.82,1,1,1,0,0,0,0,0,0,0,0,
Catalogo + Video 4,2026-08-31,593.92,45,28,1.607143,2,2,0,0,0,0,10,2,
Catalogo + Video 5,2026-08-31,22.45,7,7,1,0,0,0,0,0,0,7,0,
Catalogo + Video 5,2026-08-31,10983.36,1806,1623,1.112754,29,25,6,1,0,0,1676,47,
Cardigam Roma,2026-08-31,3.38,2,2,1,0,0,0,0,0,0,2,0,
Catalogo + Video 4,2026-08-31,526.51,96,92,1.043478,2,2,0,0,0,0,23,0,
Catalogo + Video 3,2026-08-31,8597.53,1355,1010,1.341584,26,25,3,0,0,0,158,1,
Catalogo + Video 1,2026-08-31,50.66,9,7,1.285714,0,0,0,0,0,0,5,0,
Catalogo + Video Envio Gratis,2026-08-31,104.07,14,12,1.166667,1,1,0,0,0,0,14,2,
Catalogo + Video Renová tu placard,2026-08-31,536.2,55,49,1.122449,3,2,0,0,0,0,18,1,
Catalogo + Video Vresia Basicos,2026-08-31,770.57,133,127,1.047244,4,4,0,0,0,0,92,3,
Catalogo + Video 1,2026-09-01,526.78,107,102,1.04902,5,5,0,0,0,0,70,3,
Catalogo + Video 2,2026-09-01,1726.33,356,338,1.053254,18,17,2,2,0,0,340,27,
Catalogo + Video 4,2026-09-01,17823.36,2664,1945,1.369666,68,58,5,0,0,0,992,48,
Catalogo + Video 5,2026-09-01,157.18,22,21,1.047619,0,0,0,0,0,0,20,1,
Cardigam Roma,2026-09-01,1019.35,201,179,1.122905,5,4,0,0,0,0,195,15,
Catalogo + Video 5,2026-09-01,2.49,1,1,1,0,0,0,0,0,0,1,0,
Catalogo + Video 4,2026-09-01,101.28,13,9,1.444444,0,0,0,0,0,0,4,0,
Catalogo + Video 3,2026-09-01,81.66,13,10,1.3,1,2,0,0,0,0,2,0,
Catalogo + Video 1,2026-09-01,677,44,36,1.222222,3,3,0,0,0,0,19,3,
Catalogo + Video Renová tu placard,2026-09-01,87.75,4,4,1,0,0,0,0,0,0,1,0,
Catalogo + Video Vresia Basicos,2026-09-01,23.25,1,1,1,0,0,0,0,0,0,1,0,
Catalogo + Video 3,2026-09-02,1016.84,58,43,1.348837,2,2,0,0,0,0,15,0,
Catalogo + Video 4,2026-09-02,12103.53,1434,1134,1.26455,42,39,14,4,2,143372.40,858,54,
