Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
2 - Nueva - Copia,2026-08-10,46.42,3,3,1,0,0,0,0,0,0,0,0,0
3 - Nueva,2026-08-10,10.67,4,3,1.333333,0,0,0,0,0,0,0,0,0
2 - Nueva,2026-08-10,105.67,12,7,1.714286,0,0,0,0,0,0,0,0,0
1 - Nueva,2026-08-10,298.98,41,41,1,1,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 4,2026-08-10,6345.93,1310,1095,1.196347,17,0,0,0,0,0,0,0,3
2 - Nueva - Copia,2026-08-11,6291.9,1471,1191,1.235097,21,0,0,0,0,0,0,0,5
2 - Nueva - Copia 2,2026-08-11,560.67,88,82,1.073171,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia 3,2026-08-11,40.5,7,7,1,1,0,0,0,0,0,0,0,0
1 - Nueva,2026-08-11,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 4,2026-08-11,2543.47,349,333,1.048048,5,0,0,0,0,0,0,0,3
2 - Nueva - Copia,2026-08-12,10786.54,2479,2168,1.14345,39,0,0,0,0,0,0,0,10
2 - Nueva - Copia 2,2026-08-12,278.63,38,37,1.027027,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 3,2026-08-12,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 4,2026-08-12,675.51,86,85,1.011765,1,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-13,8255.95,1656,1386,1.194805,20,0,0,0,0,0,0,0,2
2 - Nueva - Copia 2,2026-08-13,2.08,1,1,1,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 4,2026-08-13,223.65,55,55,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-14,7830.73,1535,1307,1.174445,15,0,0,0,0,0,0,0,4
2 - Nueva - Copia 2,2026-08-14,90.14,12,12,1,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 4,2026-08-14,229.53,33,31,1.064516,1,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-15,9818.56,1615,1330,1.214286,21,0,0,0,0,0,0,0,3
2 - Nueva - Copia 2,2026-08-15,15.61,2,1,2,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-16,10694.75,1752,1476,1.186992,23,0,0,0,0,0,0,0,7
2 - Nueva - Copia 2,2026-08-16,100.02,10,9,1.111111,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 4,2026-08-16,41.25,3,3,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-17,7750.62,1256,1081,1.161887,19,0,0,0,0,0,0,0,6
2 - Nueva - Copia 2,2026-08-17,4117.57,763,671,1.137109,5,0,0,0,0,0,0,0,1
2 - Nueva - Copia 3,2026-08-17,29.4,5,5,1,1,0,0,0,0,0,0,0,1
Nuevo anuncio de Clientes potenciales - Copia 4,2026-08-17,30.4,4,4,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-18,5482.75,935,863,1.08343,17,0,0,0,0,0,0,0,5
2 - Nueva - Copia 2,2026-08-18,5109.37,1009,903,1.117386,5,0,0,0,0,0,0,0,2
2 - Nueva - Copia 3,2026-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 4,2026-08-18,65.1,6,5,1.2,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-19,7163.7,1121,1003,1.117647,21,0,0,0,0,0,0,0,3
2 - Nueva - Copia 2,2026-08-19,1753.81,283,269,1.052045,1,0,0,0,0,0,0,0,0
2 - Nueva - Copia 3,2026-08-19,76.32,9,9,1,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 4,2026-08-19,38.82,7,7,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-20,6426.05,1111,985,1.127919,13,0,0,0,0,0,0,0,3
2 - Nueva - Copia 2,2026-08-20,3014.52,452,413,1.094431,3,0,0,0,0,0,0,0,1
2 - Nueva - Copia,2026-08-21,7650.81,1319,1168,1.129281,21,0,0,0,0,0,0,0,3
2 - Nueva - Copia 2,2026-08-21,1101.2,211,202,1.044554,2,0,0,0,0,0,0,0,1
2 - Nueva - Copia 3,2026-08-21,26.43,7,7,1,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 4,2026-08-21,21.74,6,6,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-22,7792.36,1382,1229,1.124491,13,0,0,0,0,0,0,0,4
2 - Nueva - Copia 2,2026-08-22,1252.77,234,220,1.063636,1,0,0,0,0,0,0,0,0
2 - Nueva - Copia 3,2026-08-22,24.56,7,7,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-23,10077.27,1647,1458,1.12963,24,0,0,0,0,0,0,0,5
2 - Nueva - Copia 2,2026-08-23,1327.15,228,212,1.075472,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 4,2026-08-23,49.71,11,11,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-24,8150.45,1612,1394,1.156385,20,0,0,0,0,0,0,0,7
2 - Nueva - Copia 2,2026-08-24,3293.23,597,524,1.139313,9,0,0,0,0,0,0,0,3
2 - Nueva - Copia 3,2026-08-24,5.28,1,1,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-25,6129.97,1126,975,1.154872,9,0,0,0,0,0,0,0,2
2 - Nueva - Copia 2,2026-08-25,4241.69,754,672,1.122024,11,0,0,0,0,0,0,0,5
Nuevo anuncio de Clientes potenciales - Copia 4,2026-08-25,4.76,3,3,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-26,5891.26,1337,1110,1.204505,15,0,0,0,0,0,0,0,3
2 - Nueva - Copia 2,2026-08-26,3633.77,648,589,1.10017,5,0,0,0,0,0,0,0,1
2 - Nueva - Copia 3,2026-08-26,75.67,12,12,1,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 4,2026-08-26,31.18,8,8,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-27,5328.7,1035,958,1.080376,14,0,0,0,0,0,0,0,1
2 - Nueva - Copia 2,2026-08-27,3794.8,744,686,1.084548,10,0,0,0,0,0,0,0,1
2 - Nueva - Copia 3,2026-08-27,1.47,1,1,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-28,2170.88,527,480,1.097917,8,0,0,0,0,0,0,0,0
2 - Nueva - Copia 2,2026-08-28,1088.22,263,249,1.056225,1,0,0,0,0,0,0,0,0
2 - Nueva - Copia 3,2026-08-28,0.93,1,1,1,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 4,2026-08-28,49.78,2,2,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-29,9076.52,1064,1023,1.040078,10,0,0,0,0,0,0,0,1
2 - Nueva - Copia 2,2026-08-29,636.1,104,99,1.050505,1,0,0,0,0,0,0,0,1
IG Post 29/8 B - Convocatoria (30 días publicidad),2026-08-29,157.17,21,19,1.105263,0,0,0,0,0,0,0,0,0
IG Post 29/8 A - Convocatoria (nuevas convocatorias),2026-08-29,130.21,17,16,1.0625,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-30,4618.23,498,468,1.064103,6,0,0,0,0,0,0,0,0
2 - Nueva - Copia 2,2026-08-30,2014.45,277,262,1.057252,3,0,0,0,0,0,0,0,1
IG Post 29/8 B - Convocatoria (30 días publicidad),2026-08-30,715.72,53,53,1,0,0,0,0,0,0,0,0,0
