"Inicio del informe","Fin del informe","Nombre del anuncio","Identificador del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios",Objetivo,Frecuencia,"CPM (costo por mil impresiones) (ARS)","Clics en el enlace","CPC (costo por clic en el enlace) (ARS)","CTR (porcentaje de clics en el enlace)","Clics (todos)","CTR (todos)","Clientes potenciales","Costo por cliente potencial (ARS)","Conversaciones con mensajes iniciadas","Interacciones con la publicación","Comentarios de publicaciones","Reacciones a publicaciones","Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones",Compras,"Valor de resultados","Indicador de ROAS de resultado","Valor de conversión de compras","ROAS de resultados","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video",ThruPlays,"CTR único (porcentaje de clics en el enlace)","CTR único (todos)"
2026-08-20,2026-08-20,"2 - Nueva - Copia 3",120252606034020202,active,,,,"Con el presupuesto de la campaña",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",0,0,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-20,2026-08-20,"2 - Nueva - Copia 2",120252606006150202,active,1,actions:leadgen.other,3014.52,"Con el presupuesto de la campaña",0,3014.52,452,413,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.094431,6669.292035,3,1004.84,0.663717,7,1.548673,1,3014.52,2,4,1,,,,,,,,,,,,,,00:00:00,,0.726392,1.452785
2026-08-20,2026-08-20,"2 - Nueva - Copia",120252605987120202,active,3,actions:leadgen.other,2142.01666667,"Con el presupuesto de la campaña",0,6426.05,1111,985,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,Promedio,"Por encima del promedio","Por encima del promedio","Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.127919,5784.023402,13,494.311538,1.170117,26,2.340234,3,2142.016667,,14,1,,,,,,,,,,,,,,00:00:00,,1.319797,2.030457
2026-08-19,2026-08-19,"Nuevo anuncio de Clientes potenciales - Copia 4",120252849439060202,active,,,,"Con el presupuesto de la campaña",0,38.82,7,7,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1,5545.714286,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-19,2026-08-19,"2 - Nueva - Copia 3",120252606034020202,active,,,,"Con el presupuesto de la campaña",0,76.32,9,9,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1,8480,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-19,2026-08-19,"2 - Nueva - Copia 2",120252606006150202,active,,,,"Con el presupuesto de la campaña",0,1753.81,283,269,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.052045,6197.208481,1,1753.81,0.353357,2,0.706714,,,,1,,,,,,,,,,,,,,,00:00:00,,0.371747,0.743494
2026-08-19,2026-08-19,"2 - Nueva - Copia",120252605987120202,active,3,actions:leadgen.other,2387.9,"Con el presupuesto de la campaña",0,7163.7,1121,1003,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,Promedio,Promedio,"Por encima del promedio","Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.117647,6390.454951,21,341.128571,1.873327,36,3.211418,3,2387.9,2,23,1,1,,,,,,,,,,,,,00:00:00,,1.994018,2.791625
2026-08-18,2026-08-18,"Nuevo anuncio de Clientes potenciales - Copia 4",120252849439060202,active,,,,"Con el presupuesto de la campaña",0,65.1,6,5,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.2,10850,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-18,2026-08-18,"2 - Nueva - Copia 3",120252606034020202,active,,,,"Con el presupuesto de la campaña",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",0,0,,,,0,0,,,1,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-18,2026-08-18,"2 - Nueva - Copia 2",120252606006150202,active,2,actions:leadgen.other,2554.685,"Con el presupuesto de la campaña",0,5109.37,1009,903,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,Promedio,"Por encima del promedio","Por encima del promedio","Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.117386,5063.795837,5,1021.874,0.49554,14,1.387512,2,2554.685,2,7,1,,1,,,,,,,,,,,,00:00:00,,0.55371,1.328904
2026-08-18,2026-08-18,"2 - Nueva - Copia",120252605987120202,active,5,actions:leadgen.other,1096.55,"Con el presupuesto de la campaña",0,5482.75,935,863,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,Promedio,Promedio,"Por encima del promedio","Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.08343,5863.903743,17,322.514706,1.818182,30,3.208556,5,1096.55,7,20,1,1,,1,,,,,,,,,,,00:00:00,,1.853998,2.549247
2026-08-17,2026-08-17,"Nuevo anuncio de Clientes potenciales - Copia 4",120252849439060202,active,,,,"Con el presupuesto de la campaña",0,30.4,4,4,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1,7600,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
