Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 10,2026-09-01,1432.59,207,172,1.203488,3,3,0,0,0,0,15,5,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-09-01,103.32,15,15,1,0,1,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7,2026-09-01,395.03,62,53,1.169811,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 11,2026-09-01,1363.35,175,149,1.174497,1,0,0,0,0,0,1,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 12,2026-09-01,430.94,25,22,1.136364,2,2,0,0,0,0,0,0,
Ad1 - Angulo Anticipo Temporada,2026-09-01,24746.07,1903,1351,1.408586,67,72,30,3,1,166100.56,826,101,
Ad2 - Angulo Viaje,2026-09-01,65.28,10,10,1,0,0,0,0,0,0,7,0,
Ad6 - Secuencia - Nueva coleccion 2026 - Copia 3,2026-09-02,4802.81,611,522,1.170498,24,20,2,1,1,108937.89,14,1,
Ad6 - Secuencia - Nueva coleccion 2026 - Copia 4,2026-09-02,592.47,36,31,1.16129,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 8,2026-09-02,35555.31,5125,3602,1.422821,141,142,13,6,1,79980,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-09-02,20,3,3,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-09-02,1223.31,138,126,1.095238,1,0,0,0,0,0,0,0,
Ad1 - Angulo Anticipo Temporada,2026-09-02,8426.92,627,517,1.212766,25,20,6,0,0,0,267,25,
Ad2 - Angulo Viaje,2026-09-02,3024.47,257,222,1.157658,4,3,0,0,0,0,185,10,
Ad3 - Angulo Producto Fit,2026-09-02,2892.19,211,190,1.110526,7,5,2,1,1,160213.07,100,17,
