"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","ROAS de resultados","Indicador de ROAS de resultado","CPM (costo por mil impresiones) (ARS)","CTR único (porcentaje de clics en el enlace)","Visitas a la página de destino","Artículos agregados al carrito","Pagos iniciados","Información de pago agregada",Compras,"Valor de conversión de compras","Valor de conversión de compras promedio [Todas las conversiones de la atribución incremental]",Frecuencia,"Clics en el enlace","Reproducciones de video de 3 segundos","Tiempo promedio de reproducción del video","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 100%",ThruPlays,"CTR (porcentaje de clics en el enlace)","CTR único (todos)","CTR (todos)","CPC (costo por clic en el enlace) (ARS)","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-08-22,2026-08-22,Catalogo_2,active,,,,20000,Diario,402.27,72,64,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,5587.083333,4.6875,3,,,,,,,1.125,3,7,2,7,4,3,2,2,4.166667,6.25,8.333333,134.09,,
2026-08-22,2026-08-22,Catalogo_1,active,,,,20000,Diario,33.38,7,6,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,4768.571429,0,,,,,,,,1.166667,,4,8,4,3,3,2,2,,0,0,,,
2026-08-21,2026-08-21,Catalogo_5,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-21,2026-08-21,Catalogo_Karla,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-21,2026-08-21,"Catalogo_4 ¿Es un varón?",active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-21,2026-08-21,Catalogo_3,active,3,actions:offsite_conversion.fb_pixel_purchase,7589.46333333,20000,Diario,22768.39,5294,4660,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,10.18056832,action_values:offsite_conversion.fb_pixel_purchase,4300.791462,2.553648,130,33,7,3,3,231795.15,77265.05,1.136052,132,780,2,583,288,144,76,81,2.493389,4.141631,4.948999,172.487803,,
2026-08-21,2026-08-21,Catalogo_2,active,,,,20000,Diario,375.1,60,48,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,6251.666667,0,,,,,,,,1.25,,2,1,2,2,1,,,,4.166667,3.333333,,,
2026-08-21,2026-08-21,Catalogo_1,active,1,actions:offsite_conversion.fb_pixel_purchase,100.09,20000,Diario,100.09,16,9,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,515.53601758,action_values:offsite_conversion.fb_pixel_purchase,6255.625,11.111111,1,5,1,1,1,51600,51600,1.777778,1,3,3,3,1,1,1,1,6.25,22.222222,12.5,100.09,,
2026-08-20,2026-08-20,Catalogo_5,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-20,2026-08-20,Catalogo_Karla,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-20,2026-08-20,"Catalogo_4 ¿Es un varón?",active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
